Date/Time,GENERATOR PHOTOVOLTAIC 1:Generator Produced DC Electric Energy [J](Daily) ,,,,
 01/01,51848366.11,,,,
 01/02,37500061.23,,,,30825731240
 01/03,37421887.22,,,,
 01/04,40759394.63,,,,
 01/05,38264366.95,,,,
 01/06,57073999.76,,,,
 01/07,50359928.32,,,,
 01/08,47149322.11,,,,
 01/09,49844717.39,,,,
 01/10,51421941.6,,,,
 01/11,51200494.34,,,,
 01/12,48416298.4,,,,
 01/13,55106238.88,,,,
 01/14,65403391.7,,,,
 01/15,62887587.19,,,,
 01/16,54392539.27,,,,
 01/17,42354604.05,,,,
 01/18,40611161.36,,,,
 01/19,43942021.41,,,,
 01/20,65925995.27,,,,
 01/21,54331429.73,,,,
 01/22,41553080.31,,,,
 01/23,61306608.91,,,,
 01/24,55524094.97,,,,
 01/25,33645037.73,,,,
 01/26,47926158.82,,,,
 01/27,56527925.04,,,,
 01/28,51744773.49,,,,
 01/29,54802540.49,,,,
 01/30,67710575.26,,,,
 01/31,40222708.46,,,,
 02/01,71988064.86,,,,
 02/02,80193481.55,,,,
 02/03,54643995.4,,,,
 02/04,29225668.51,,,,
 02/05,29465080.72,,,,
 02/06,66813778.83,,,,
 02/07,76889877.87,,,,
 02/08,50085608.52,,,,
 02/09,62020206.76,,,,
 02/10,43625475.76,,,,
 02/11,21643782.64,,,,
 02/12,61038460.11,,,,
 02/13,66701628.19,,,,
 02/14,74599291.94,,,,
 02/15,25984685.25,,,,
 02/16,87499668.72,,,,
 02/17,55548335.48,,,,
 02/18,70118872.21,,,,
 02/19,84949158.04,,,,
 02/20,95634756.63,,,,
 02/21,77505237.86,,,,
 02/22,63568812.15,,,,
 02/23,24501811.25,,,,
 02/24,75684361.56,,,,
 02/25,83211484.53,,,,
 02/26,75623043.22,,,,
 02/27,25460568.83,,,,
 02/28,67502452.37,,,,
 03/01,93933382.35,,,,
 03/02,113605972.5,,,,
 03/03,112510435.9,,,,
 03/04,105290483.4,,,,
 03/05,91319158.41,,,,
 03/06,105682990.4,,,,
 03/07,117372583.3,,,,
 03/08,35589628.84,,,,
 03/09,0,,,,
 03/10,115870248.1,,,,
 03/11,84035255.44,,,,
 03/12,106589320.2,,,,
 03/13,107606500,,,,
 03/14,83925451.59,,,,
 03/15,81485988.82,,,,
 03/16,0,,,,
 03/17,91224928,,,,
 03/18,118605148.9,,,,
 03/19,114822357.5,,,,
 03/20,111222417.5,,,,
 03/21,42721749.39,,,,
 03/22,7557738.637,,,,
 03/23,19437381.71,,,,
 03/24,18329158.69,,,,
 03/25,130268699.8,,,,
 03/26,117911785.9,,,,
 03/27,132363224.1,,,,
 03/28,96696337.61,,,,
 03/29,103937239.7,,,,
 03/30,101680587.4,,,,
 03/31,135320885.8,,,,
 04/01,134803521.4,,,,
 04/02,122945479.1,,,,
 04/03,128222878.6,,,,
 04/04,127122230.2,,,,
 04/05,128742026.2,,,,
 04/06,132775438.6,,,,
 04/07,121014792.9,,,,
 04/08,139319013,,,,
 04/09,124706384.1,,,,
 04/10,104807645.2,,,,
 04/11,26213695.81,,,,
 04/12,138275634,,,,
 04/13,116133173.5,,,,
 04/14,29468086.41,,,,
 04/15,46189654.05,,,,
 04/16,110999602.5,,,,
 04/17,26543165.51,,,,
 04/18,68690803.88,,,,
 04/19,138807787.9,,,,
 04/20,138635894.6,,,,
 04/21,26639575.85,,,,
 04/22,26629359.27,,,,
 04/23,143610234.1,,,,
 04/24,154692805.2,,,,
 04/25,138149091.6,,,,
 04/26,152255224.1,,,,
 04/27,133639656.2,,,,
 04/28,133599706.6,,,,
 04/29,138809562.5,,,,
 04/30,58090414.33,,,,
 05/01,143843416,,,,
 05/02,97274178.29,,,,
 05/03,117753941.6,,,,
 05/04,140938989.1,,,,
 05/05,143274103.9,,,,
 05/06,87799481.21,,,,
 05/07,70218299.65,,,,
 05/08,142616529.2,,,,
 05/09,137896642.7,,,,
 05/10,115865032.2,,,,
 05/11,70972265.41,,,,
 05/12,60359248.65,,,,
 05/13,59121146.19,,,,
 05/14,62559627.6,,,,
 05/15,146650674.3,,,,
 05/16,143345940,,,,
 05/17,143695999.8,,,,
 05/18,140113793.8,,,,
 05/19,146385033,,,,
 05/20,143270607.6,,,,
 05/21,145398758,,,,
 05/22,145481570.7,,,,
 05/23,152550372.7,,,,
 05/24,144753937.3,,,,
 05/25,145068267.9,,,,
 05/26,130975669,,,,
 05/27,112374166.4,,,,
 05/28,56085660.8,,,,
 05/29,108354580.2,,,,
 05/30,142993029,,,,
 05/31,142121730.9,,,,
 06/01,105254229.3,,,,
 06/02,109106989.8,,,,
 06/03,96514262.26,,,,
 06/04,49412923.29,,,,
 06/05,156449709,,,,
 06/06,143579164.1,,,,
 06/07,143562635,,,,
 06/08,124464248.2,,,,
 06/09,117385606.6,,,,
 06/10,49048451.78,,,,
 06/11,126219559.5,,,,
 06/12,144668202.1,,,,
 06/13,132129437.6,,,,
 06/14,101113280.6,,,,
 06/15,148356716.7,,,,
 06/16,146312085.9,,,,
 06/17,115854307.8,,,,
 06/18,48686538.54,,,,
 06/19,48671819.2,,,,
 06/20,72840512.44,,,,
 06/21,147823747.7,,,,
 06/22,48634198.15,,,,
 06/23,48623720.03,,,,
 06/24,48638876.95,,,,
 06/25,116713946.7,,,,
 06/26,144284642.3,,,,
 06/27,144740518.6,,,,
 06/28,145954252.3,,,,
 06/29,149529087.9,,,,
 06/30,145539786.8,,,,
 07/01,111580400,,,,
 07/02,139062619.5,,,,
 07/03,45985856.17,,,,
 07/04,42219955.06,,,,
 07/05,146757955.8,,,,
 07/06,142663046.9,,,,
 07/07,150609005.8,,,,
 07/08,143864237,,,,
 07/09,144188350.9,,,,
 07/10,69335950.11,,,,
 07/11,42508360.11,,,,
 07/12,144748176.4,,,,
 07/13,146390282.7,,,,
 07/14,42772914.26,,,,
 07/15,144221143.8,,,,
 07/16,144476949.4,,,,
 07/17,141645824.3,,,,
