Date/Time,GENERATOR PHOTOVOLTAIC 1:Generator Produced DC Electric Energy [J](Hourly) 
 01/01  01:00:00,0
 01/01  02:00:00,0
 01/01  03:00:00,0
 01/01  04:00:00,0
 01/01  05:00:00,0
 01/01  06:00:00,0
 01/01  07:00:00,0
 01/01  08:00:00,231719.7714
 01/01  09:00:00,1369591.069
 01/01  10:00:00,2500279.456
 01/01  11:00:00,3626599.434
 01/01  12:00:00,5771045.307
 01/01  13:00:00,13844972.9
 01/01  14:00:00,15290294.27
 01/01  15:00:00,5162824.983
 01/01  16:00:00,2899884.393
 01/01  17:00:00,1151154.53
 01/01  18:00:00,0
 01/01  19:00:00,0
 01/01  20:00:00,0
 01/01  21:00:00,0
 01/01  22:00:00,0
 01/01  23:00:00,0
 01/01  24:00:00,0
 01/02  01:00:00,0
 01/02  02:00:00,0
 01/02  03:00:00,0
 01/02  04:00:00,0
 01/02  05:00:00,0
 01/02  06:00:00,0
 01/02  07:00:00,0
 01/02  08:00:00,200531.7788
 01/02  09:00:00,1264852.591
 01/02  10:00:00,2330436.783
 01/02  11:00:00,2943528.973
 01/02  12:00:00,4367278.928
 01/02  13:00:00,9482291.27
 01/02  14:00:00,10159993.95
 01/02  15:00:00,3650453.505
 01/02  16:00:00,2052920.167
 01/02  17:00:00,1047773.29
 01/02  18:00:00,0
 01/02  19:00:00,0
 01/02  20:00:00,0
 01/02  21:00:00,0
 01/02  22:00:00,0
 01/02  23:00:00,0
 01/02  24:00:00,0
 01/03  01:00:00,0
 01/03  02:00:00,0
 01/03  03:00:00,0
 01/03  04:00:00,0
 01/03  05:00:00,0
 01/03  06:00:00,0
 01/03  07:00:00,0
 01/03  08:00:00,233586.1499
 01/03  09:00:00,1436261.132
 01/03  10:00:00,2530039.017
 01/03  11:00:00,3278795.993
 01/03  12:00:00,6545406.028
 01/03  13:00:00,3986875.423
 01/03  14:00:00,3268936.876
 01/03  15:00:00,4471568.111
 01/03  16:00:00,9950997.273
 01/03  17:00:00,1719421.215
 01/03  18:00:00,0
 01/03  19:00:00,0
 01/03  20:00:00,0
 01/03  21:00:00,0
 01/03  22:00:00,0
 01/03  23:00:00,0
 01/03  24:00:00,0
 01/04  01:00:00,0
 01/04  02:00:00,0
 01/04  03:00:00,0
 01/04  04:00:00,0
 01/04  05:00:00,0
 01/04  06:00:00,0
 01/04  07:00:00,0
 01/04  08:00:00,210063.5493
 01/04  09:00:00,1180842.22
 01/04  10:00:00,1891322.148
 01/04  11:00:00,3063552.203
 01/04  12:00:00,6597496.981
 01/04  13:00:00,7993069.292
 01/04  14:00:00,3762257.138
 01/04  15:00:00,4351624.163
 01/04  16:00:00,9713583.848
 01/04  17:00:00,1995583.086
 01/04  18:00:00,0
 01/04  19:00:00,0
 01/04  20:00:00,0
 01/04  21:00:00,0
 01/04  22:00:00,0
 01/04  23:00:00,0
 01/04  24:00:00,0
 01/05  01:00:00,0
 01/05  02:00:00,0
 01/05  03:00:00,0
 01/05  04:00:00,0
 01/05  05:00:00,0
 01/05  06:00:00,0
 01/05  07:00:00,0
 01/05  08:00:00,210787.1077
 01/05  09:00:00,1324445.893
 01/05  10:00:00,2417997.218
 01/05  11:00:00,3555354.426
 01/05  12:00:00,6843328.247
