Date/Time,GENERATOR PHOTOVOLTAIC 2:Generator Produced DC Electric Energy [J](Daily) ,,
 01/01,67184452.57,,
 01/02,49867283.95,,
 01/03,46099983.74,,22826453533
 01/04,47530796.71,,
 01/05,55331699.73,,
 01/06,74489684.3,,
 01/07,53983796.38,,
 01/08,76747316.55,,
 01/09,62829741.32,,
 01/10,69051668.28,,
 01/11,78062418.57,,
 01/12,71595075.09,,
 01/13,77293953.97,,
 01/14,80743179.21,,
 01/15,81362037.46,,
 01/16,64487203.69,,
 01/17,56278673.56,,
 01/18,49222758.43,,
 01/19,64213778.52,,
 01/20,76662013.31,,
 01/21,52927211.34,,
 01/22,42326172.69,,
 01/23,71962346.4,,
 01/24,70393602.13,,
 01/25,36415784.18,,
 01/26,52545692.55,,
 01/27,68699176.69,,
 01/28,52956175.69,,
 01/29,69510426.8,,
 01/30,80432684.72,,
 01/31,44329239.91,,
 02/01,110636427.7,,
 02/02,99905786.45,,
 02/03,67763988.92,,
 02/04,20967672.17,,
 02/05,21108754.72,,
 02/06,55639734.96,,
 02/07,86439437.73,,
 02/08,63919394.88,,
 02/09,83655425.5,,
 02/10,50261885.36,,
 02/11,14413472.44,,
 02/12,83352624.78,,
 02/13,81961794.32,,
 02/14,88629928.32,,
 02/15,17609722.8,,
 02/16,89483302.97,,
 02/17,58348533.54,,
 02/18,61787001.88,,
 02/19,82236541.42,,
 02/20,94502827.18,,
 02/21,69507446.06,,
 02/22,61918501.79,,
 02/23,16204726.26,,
 02/24,91697439.77,,
 02/25,94807386.68,,
 02/26,85378423.52,,
 02/27,16800873.88,,
 02/28,93613816.36,,
 03/01,132423075.5,,
 03/02,121998442.1,,
 03/03,120131798.2,,
 03/04,117157151.4,,
 03/05,81740637.03,,
 03/06,118087151,,
 03/07,92131592.42,,
 03/08,23702870.52,,
 03/09,0,,
 03/10,123949588.7,,
 03/11,71757845.31,,
 03/12,115348373.4,,
 03/13,118517598.3,,
 03/14,74646544.86,,
 03/15,68770569.52,,
 03/16,0,,
 03/17,110415721.3,,
 03/18,121620381.6,,
 03/19,113452611.4,,
 03/20,114085558.6,,
 03/21,27994261.91,,
 03/22,4779594.445,,
 03/23,12406969.06,,
 03/24,11683077.63,,
 03/25,102331319,,
 03/26,91090527.01,,
 03/27,96491391.82,,
 03/28,57363478.87,,
 03/29,81101306.53,,
 03/30,67119906.29,,
 03/31,103848414.2,,
 04/01,102236715.8,,
 04/02,103393553.7,,
 04/03,103546382.2,,
 04/04,100696046,,
 04/05,82125100.1,,
 04/06,102621740,,
 04/07,99933491.55,,
 04/08,91692965.38,,
 04/09,102729659.3,,
 04/10,63452432.87,,
 04/11,16700773.87,,
 04/12,84563168.1,,
 04/13,67301155.39,,
 04/14,18725184.25,,
 04/15,28914370.55,,
 04/16,69059377.12,,
 04/17,16866624.33,,
 04/18,44332310.22,,
 04/19,81775776.69,,
 04/20,83024871.11,,
